EventId,EventTemplate,Occurrences
bd2f529c,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",8632
d207f5b6,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] <*> <*>,2
be38d1b3,[instance: <*>b<*>f<*>-<*>fd-<*>ec<*>-ae<*>-<*>c<*>f<*>b<*>] VM Stopped (Lifecycle Event),1
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",4
367e75dc,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] VM <*> (Lifecycle Event),5
f300a87a,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] During sync_power_state the instance has a pending task (spawning). Skip.,3
8970be39,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,766
d7d096ad,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",766
7bc5d64e,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,766
16f9f039,Creating event <*> for instance <*>,196
e7c5c93a,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",588
8c6923ec,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Instance <*> successfully.,2
feace98d,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
f358b99b,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Took <*>.<*> seconds to build instance.,1
b07a374b,"<*> ""DELETE <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",196
5e525947,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Deleting instance files /var/lib/nova/instances/<*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>_del,1
4faee48b,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Deletion of <*>complete,1
523faabd,[instance: <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Took <*>.<*> seconds to deallocate network for instance.,1
66acd71e,HTTP exception thrown: No instances found for any event,196
a7a4ff84,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,270
6a30fe6e,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,270
f5f5f70f,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,196
90d90b6e,"[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
3bdf1252,"[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] <*> <*> <*> MB, <*> <*>.<*> MB",2
8d6b3d41,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Total <*> <*> <*> used: <*>.<*> <*>,2
381b961c,"[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] <*> limit not specified, defaulting to unlimited",2
65fde912,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] <*> <*>,3
304a219c,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",135
5935193a,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],135
9d6775a4,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
c7291fd3,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] VM <*> (Lifecycle Event),5
6f831669,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] During sync_power_state the instance has a pending task (spawning). Skip.,2
6ae449f7,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Instance <*> successfully.,2
2879af3b,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
f35c1893,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Took <*>.<*> seconds to build instance.,1
e2beb4da,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Deleting instance files /var/lib/nova/instances/<*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>_del,1
e107db67,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Deletion of <*>complete,1
c4800288,[instance: <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Took <*>.<*> seconds to deallocate network for instance.,1
bd20c76b,"[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
1ec48662,"[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] <*> <*> <*> MB, <*> <*>.<*> MB",2
232c779d,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Total <*> <*> <*> used: <*>.<*> <*>,2
1a00875c,"[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] <*> limit not specified, defaulting to unlimited",2
eac5e352,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] <*> <*>,3
73082aae,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] VM <*> (Lifecycle Event),5
c6f554d4,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] During sync_power_state the instance has a pending task (spawning). Skip.,1
a7c1a5de,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Instance <*> successfully.,2
a7067e5b,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
700f941a,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Took <*>.<*> seconds to build instance.,1
732653ea,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,38
ab2cd28e,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Deleting instance files /var/lib/nova/instances/<*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>_del,1
f150c701,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Deletion of <*>complete,1
7793ad75,[instance: <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Took <*>.<*> seconds to deallocate network for instance.,1
f04389ad,"[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
87301ae3,"[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] <*> <*> <*> MB, <*> <*>.<*> MB",2
73bbef92,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Total <*> <*> <*> used: <*>.<*> <*>,2
6b8f3964,"[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] <*> limit not specified, defaulting to unlimited",2
88fba543,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] <*> <*>,3
b7a69f27,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] VM <*> (Lifecycle Event),5
c5ab587a,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] During sync_power_state the instance has a pending task (spawning). Skip.,1
cd76b38a,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Instance <*> successfully.,2
bca5e7de,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
a7e47cbc,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Took <*>.<*> seconds to build instance.,1
826a9fbc,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Deleting instance files /var/lib/nova/instances/<*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>_del,1
d2606a8b,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Deletion of <*>complete,1
87b12ccd,[instance: <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Took <*>.<*> seconds to deallocate network for instance.,1
77427d57,"[instance: <*>ae<*>a<*>-<*>b-<*>fc-<*>cc-<*>cdf<*>fa<*>d<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
