EventId,EventTemplate,Occurrences
0,<*> <*> <*>HTTP<*>status <*> len <*> time <*>.<*>,9416
1,[instance <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Creating image,1
2,[instance <*> VM <*> (Lifecycle Event),6
3,While synchronizing instance power states found <*> instances in the database and <*> instances on the hypervisor.,4
4,[instance <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] <*> <*> <*> instance <*>,5
5,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,766
6,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use on this node <*> local <*> on other nodes sharing this instance storage,766
7,<*> base <*> /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1502
8,Creating event network-vif-plugged <*> for instance <*>,196
9,[instance <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Instance <*> successfully.,2
10,[instance <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Took <*>.<*> seconds to <*>,4
11,[instance <*>edec<*>e<*>-<*>-<*>a<*>a-a<*>b-a<*>a<*>ee<*>e<*>] Deletion of <*>complete,1
12,HTTP exception thrown No instances found for any event,196
13,[instance <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] <*>,15
14,[instance <*> Total <*> <*> <*> used <*>.<*> <*>,587
15,[instance <*> <*> limit not specified defaulting to unlimited,392
16,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
17,Total usable vcpus <*> total allocated vcpus <*>,135
18,Final resource view name cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram <*>MB used_ram <*>MB phys_disk <*>GB used_disk <*>GB total_vcpus <*> used_vcpus <*> pci_stats [],135
19,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,135
20,[instance <*> During sync_power_state the instance has a pending task (spawning). Skip.,384
21,[instance <*>d<*>fa-<*>f<*>f-<*>ce-<*>c<*>a-<*>ae<*>a<*>da<*>] Took <*>.<*> seconds to <*>,4
22,[instance <*> Attempting claim memory <*> MB disk <*> GB vcpus <*> CPU,195
23,[instance <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] <*>,13
24,[instance <*>ffb<*>b-<*>b<*>-<*>c<*>d-a<*>e<*>-<*>bf<*>b<*>] Took <*>.<*> seconds to <*>,4
25,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,38
26,[instance <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] <*>,13
27,[instance <*>f<*>b<*>-<*>e<*>-<*>b<*>-<*>a-f<*>b<*>fac<*>b<*>] Took <*>.<*> seconds to <*>,4
28,[instance <*>ae<*>a<*>-<*>b-<*>fc-<*>cc-<*>cdf<*>fa<*>d<*>] <*>,13
29,[instance <*>ae<*>a<*>-<*>b-<*>fc-<*>cc-<*>cdf<*>fa<*>d<*>] Took <*>.<*> seconds to <*>,4
30,[instance e<*>ce<*>b-f<*>-<*>c<*>-<*>fc<*>-<*>d<*>dd<*>cf<*>] <*>,13
31,The instance sync for host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us' did not match. Re-created its InstanceList.,29
32,[instance e<*>ce<*>b-f<*>-<*>c<*>-<*>fc<*>-<*>d<*>dd<*>cf<*>] Took <*>.<*> seconds to <*>,4
33,[instance <*>e<*>b<*>-<*>bc<*>-<*>-<*>e<*>-e<*>ba<*>e<*>e<*>d] <*>,13
34,[instance <*>e<*>b<*>-<*>bc<*>-<*>-<*>e<*>-e<*>ba<*>e<*>e<*>d] Took <*>.<*> seconds to <*>,4
35,[instance <*>e<*>c<*>c<*>a-<*>f-<*>d<*>-bb<*>-<*>b<*>cbca<*>] <*>,13
36,[instance <*>e<*>c<*>c<*>a-<*>f-<*>d<*>-bb<*>-<*>b<*>cbca<*>] Took <*>.<*> seconds to <*>,4
37,[instance <*>e<*>e<*>-d<*>e<*>-<*>b<*>-<*>f<*>-a<*>e<*>] <*>,13
38,[instance <*>e<*>e<*>-d<*>e<*>-<*>b<*>-<*>f<*>-a<*>e<*>] Took <*>.<*> seconds to <*>,4
39,[instance <*>a<*>cc<*>-<*>-<*>f<*>-a<*>c-<*>bdb<*>a<*>a<*>fa] <*>,13
40,[instance <*>a<*>cc<*>-<*>-<*>f<*>-a<*>c-<*>bdb<*>a<*>a<*>fa] Took <*>.<*> seconds to <*>,4
41,Base or swap file too young to remove /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,74
42,[instance ff<*>e<*>e-e<*>f<*>-<*>a<*>-<*>c<*>-<*>d<*>f<*>] <*>,13
43,[instance ff<*>e<*>e-e<*>f<*>-<*>a<*>-<*>c<*>-<*>d<*>f<*>] Took <*>.<*> seconds to <*>,4
44,[instance <*>f<*>e-<*>-<*>e<*>-b<*>d-<*>a<*>f<*>d<*>] <*>,13
