EventId,EventTemplate,Occurrences
0,<*> <*> <*>HTTP<*>status <*> len <*> time <*>.<*>,26624
1,[instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] VM <*> (Lifecycle Event),5
2,[instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] <*> <*> <*> instance <*>,4
3,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,2149
4,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use on this node <*> local <*> on other nodes sharing this instance storage,2149
5,<*> base <*> /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,4379
6,Creating event network-vif-plugged <*> for instance <*>,556
7,[instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Instance <*> successfully.,2
8,[instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Took <*>.<*> seconds to <*>,4
9,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,378
10,Total usable vcpus <*> total allocated vcpus <*>,378
11,Final resource view name cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram <*>MB used_ram <*>MB phys_disk <*>GB used_disk <*>GB total_vcpus <*> used_vcpus <*> pci_stats [],378
12,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,378
13,[instance b<*>-fe<*>a-<*>b-b<*>cc-<*>e<*>b<*>cd<*>d] Deletion of <*>complete,1
14,HTTP exception thrown No instances found for any event,556
15,[instance <*>abccce-<*>d<*>f-<*>e<*>-b<*>d<*>-<*>b<*>ab<*>e<*>b<*>] <*>,15
16,[instance <*> Total <*> <*> <*> used <*>.<*> <*>,1667
17,[instance <*> <*> limit not specified defaulting to unlimited,1112
18,[instance <*> During sync_power_state the instance has a pending task <*> Skip.,1075
19,[instance <*>abccce-<*>d<*>f-<*>e<*>-b<*>d<*>-<*>b<*>ab<*>e<*>b<*>] Took <*>.<*> seconds to <*>,4
20,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,80
21,Running instance usage audit for host cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us from <*>-<*>-<*> <*> <*> <*> to <*>-<*>-<*> <*> <*> <*>. <*> instances.,7
22,[instance <*> Attempting claim memory <*> MB disk <*> GB vcpus <*> CPU,555
23,[instance b<*>ef<*>-ba<*>d-<*>ae-bf<*>a-<*>cba<*>a<*>] <*>,13
24,[instance b<*>ef<*>-ba<*>d-<*>ae-bf<*>a-<*>cba<*>a<*>] Took <*>.<*> seconds to <*>,4
25,Base or swap file too young to remove /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,283
26,[instance <*>dc<*>-<*>-<*>cc-<*>e-<*>b<*>c<*>dcf] <*>,13
27,[instance <*>dc<*>-<*>-<*>cc-<*>e-<*>b<*>c<*>dcf] Took <*>.<*> seconds to <*>,4
28,[instance <*>-<*>b-<*>f<*>-<*>-<*>fc<*>b<*>a<*>c] <*>,13
29,[instance <*>-<*>b-<*>f<*>-<*>-<*>fc<*>b<*>a<*>c] Took <*>.<*> seconds to <*>,4
30,[instance <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] <*>,13
31,[instance <*>e<*>cc<*>f-<*>cb<*>-<*>d<*>-<*>c-f<*>a<*>d<*>f<*>c<*>] Took <*>.<*> seconds to <*>,4
32,[instance af<*>f<*>-f<*>d<*>-<*>-b<*>-c<*>c<*>aa<*>] <*>,13
33,[instance af<*>f<*>-f<*>d<*>-<*>-b<*>-c<*>c<*>aa<*>] Took <*>.<*> seconds to <*>,4
34,[instance ae<*>a<*>b<*>d-eec<*>-<*>bb-b<*>a-c<*>d<*>b<*>f] <*>,13
35,The instance sync for host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us' did not match. Re-created its InstanceList.,109
36,[instance ae<*>a<*>b<*>d-eec<*>-<*>bb-b<*>a-c<*>d<*>b<*>f] Took <*>.<*> seconds to <*>,4
37,[instance <*>-<*>f<*>-<*>da<*>-b<*>ee-<*>d<*>cc<*>e<*>] <*>,13
38,[instance <*>-<*>f<*>-<*>da<*>-b<*>ee-<*>d<*>cc<*>e<*>] Took <*>.<*> seconds to <*>,4
39,[instance fecdd<*>a<*>-<*>ca<*>-<*>c<*>-<*>-<*>b<*>f<*>e] <*>,13
40,[instance fecdd<*>a<*>-<*>ca<*>-<*>c<*>-<*>-<*>b<*>f<*>e] Took <*>.<*> seconds to <*>,4
41,[instance <*>a<*>d<*>-<*>b<*>-<*>c<*>-b<*>-<*>a<*>cadf] <*>,13
42,[instance <*>a<*>d<*>-<*>b<*>-<*>c<*>-b<*>-<*>a<*>cadf] Took <*>.<*> seconds to <*>,4
43,[instance d<*>b<*>eb-<*>d<*>a-<*>aa<*>-ba<*>b-<*>d<*>f<*>f<*>c] <*>,13
44,[instance d<*>b<*>eb-<*>d<*>a-<*>aa<*>-ba<*>b-<*>d<*>f<*>f<*>c] Took <*>.<*> seconds to <*>,4
45,[instance <*>ea<*>-cbf<*>-<*>f<*>e-<*>fe-<*>fd<*>f<*>] <*>,13
46,[instance <*>ea<*>-cbf<*>-<*>f<*>e-<*>fe-<*>fd<*>f<*>] Took <*>.<*> seconds to <*>,4
47,[instance <*>c<*>b-c<*>b-<*>c<*>-b<*>-<*>afe<*>f<*>ff<*>] <*>,13
48,[instance <*>c<*>b-c<*>b-<*>c<*>-b<*>-<*>afe<*>f<*>ff<*>] Took <*>.<*> seconds to <*>,4
49,[instance bf<*>c<*>d-f<*>-<*>-a<*>e-e<*>da<*>e] <*>,13
50,While synchronizing instance power states found <*> instances in the database and <*> instances on the hypervisor.,14
51,[instance bf<*>c<*>d-f<*>-<*>-a<*>e-e<*>da<*>e] Took <*>.<*> seconds to <*>,4
52,[instance be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] <*>,13
53,[instance be<*>e<*>-<*>cc<*>-<*>f<*>-<*>-<*>c<*>a<*>a<*>bc] Took <*>.<*> seconds to <*>,4
54,[instance a<*>cf<*>-<*>bb-<*>-a<*>d-<*>c<*>ac<*>a<*>d] <*>,13
55,[instance a<*>cf<*>-<*>bb-<*>-a<*>d-<*>c<*>ac<*>a<*>d] Took <*>.<*> seconds to <*>,4
56,[instance d<*>a<*>b-<*>-<*>-bdcc-<*>b<*>d<*>d] <*>,13
57,[instance d<*>a<*>b-<*>-<*>-bdcc-<*>b<*>d<*>d] Took <*>.<*> seconds to <*>,4
58,[instance d<*>b<*>bd<*>-<*>-<*>-<*>-fffdd<*>ea<*>e] <*>,13
59,[instance d<*>b<*>bd<*>-<*>-<*>-<*>-fffdd<*>ea<*>e] Took <*>.<*> seconds to <*>,4
60,[instance <*>e<*>a-<*>fe<*>-<*>-<*>b<*>-<*>ac<*>e<*>] <*>,13
61,[instance <*>e<*>a-<*>fe<*>-<*>-<*>b<*>-<*>ac<*>e<*>] Took <*>.<*> seconds to <*>,4
62,[instance c<*>f<*>f<*>-<*>c-<*>ea<*>-b<*>e<*>-<*>edfcfbf] <*>,13
63,[instance c<*>f<*>f<*>-<*>c-<*>ea<*>-b<*>e<*>-<*>edfcfbf] Took <*>.<*> seconds to <*>,4
64,[instance faf<*>ea-cba<*>-<*>e<*>b-<*>f<*>-<*>a<*>bc<*>f] <*>,13
65,[instance faf<*>ea-cba<*>-<*>e<*>b-<*>f<*>-<*>a<*>bc<*>f] Took <*>.<*> seconds to <*>,4
66,[instance e<*>e<*>-bd<*>e-<*>-<*>-<*>b<*>c] <*>,13
67,[instance e<*>e<*>-bd<*>e-<*>-<*>-<*>b<*>c] Took <*>.<*> seconds to <*>,4
68,[instance <*>a<*>ffa<*>-<*>f<*>-<*>f<*>-<*>-<*>e<*>eec<*>f<*>f] <*>,13
69,[instance <*>a<*>ffa<*>-<*>f<*>-<*>f<*>-<*>-<*>e<*>eec<*>f<*>f] Took <*>.<*> seconds to <*>,4
70,[instance <*>f<*>cf<*>-c<*>b<*>-<*>-a<*>-ca<*>a<*>f<*>f] <*>,13
71,[instance <*>f<*>cf<*>-c<*>b<*>-<*>-a<*>-ca<*>a<*>f<*>f] Took <*>.<*> seconds to <*>,4
72,[instance <*>c<*>-<*>b-<*>f<*>-<*>e<*>-<*>fca<*>ef<*>] <*>,13
73,[instance <*>c<*>-<*>b-<*>f<*>-<*>e<*>-<*>fca<*>ef<*>] Took <*>.<*> seconds to <*>,4
74,[instance c<*>cf<*>b-<*>c<*>-<*>d<*>-bca<*>-<*>cb<*>b<*>d<*>] <*>,13
75,[instance c<*>cf<*>b-<*>c<*>-<*>d<*>-bca<*>-<*>cb<*>b<*>d<*>] Took <*>.<*> seconds to <*>,4
76,[instance <*>bb<*>d<*>d-d<*>-<*>f-<*>-<*>af<*>cf<*>d<*>] <*>,13
77,[instance <*>bb<*>d<*>d-d<*>-<*>f-<*>-<*>af<*>cf<*>d<*>] Took <*>.<*> seconds to <*>,4
78,[instance aa<*>d<*>e<*>-f<*>d<*>-<*>dc<*>-b<*>-<*>a<*>b<*>a<*>b<*>] <*>,13
79,[instance aa<*>d<*>e<*>-f<*>d<*>-<*>dc<*>-b<*>-<*>a<*>b<*>a<*>b<*>] Took <*>.<*> seconds to <*>,4
80,[instance d<*>-c<*>-<*>-bc<*>-<*>ca<*>fc] <*>,13
81,[instance d<*>-c<*>-<*>-bc<*>-<*>ca<*>fc] Took <*>.<*> seconds to <*>,4
82,[instance cc<*>e<*>-<*>d-<*>baa-afd<*>-b<*>f<*>db<*>] <*>,13
83,[instance cc<*>e<*>-<*>d-<*>baa-afd<*>-b<*>f<*>db<*>] Took <*>.<*> seconds to <*>,4
84,[instance <*>f<*>dc<*>db-c<*>-<*>-a<*>-<*>de<*>fca<*>] <*>,13
85,[instance <*>f<*>dc<*>db-c<*>-<*>-a<*>-<*>de<*>fca<*>] Took <*>.<*> seconds to <*>,4
86,[instance dd<*>c<*>a-<*>-<*>c<*>-<*>a<*>c-<*>ff<*>b<*>] <*>,13
87,[instance dd<*>c<*>a-<*>-<*>c<*>-<*>a<*>c-<*>ff<*>b<*>] Took <*>.<*> seconds to <*>,4
88,[instance <*>ada<*>d<*>-<*>-<*>-b<*>-<*>af<*>f<*>b<*>aba] <*>,13
89,[instance <*>ada<*>d<*>-<*>-<*>-b<*>-<*>af<*>f<*>b<*>aba] Took <*>.<*> seconds to <*>,4
90,[instance <*>de<*>-<*>d<*>-<*>fb-ad<*>-<*>fa<*>bc<*>] <*>,13
91,[instance <*>de<*>-<*>d<*>-<*>fb-ad<*>-<*>fa<*>bc<*>] Took <*>.<*> seconds to <*>,4
92,[instance ec<*>eaea<*>-<*>ad-<*>d<*>-<*>dfa-<*>c<*>fca<*>d<*>] <*>,13
93,[instance ec<*>eaea<*>-<*>ad-<*>d<*>-<*>dfa-<*>c<*>fca<*>d<*>] Took <*>.<*> seconds to <*>,4
94,[instance <*>f<*>fc-e<*>-<*>f-<*>ef<*>-<*>e<*>a<*>] <*>,13
95,[instance <*>f<*>fc-e<*>-<*>f-<*>ef<*>-<*>e<*>a<*>] Took <*>.<*> seconds to <*>,4
96,[instance e<*>c<*>-<*>c<*>-<*>-b<*>a<*>-<*>acfa<*>e<*>] <*>,13
97,[instance e<*>c<*>-<*>c<*>-<*>-b<*>a<*>-<*>acfa<*>e<*>] Took <*>.<*> seconds to <*>,4
98,[instance <*>d<*>b<*>-<*>ab-<*>-<*>d<*>-<*>d<*>f<*>e<*>b] <*>,13
99,[instance <*>d<*>b<*>-<*>ab-<*>-<*>d<*>-<*>d<*>f<*>e<*>b] Took <*>.<*> seconds to <*>,4
100,[instance e<*>d<*>-<*>-<*>ea<*>-b<*>b-c<*>e<*>aa<*>] <*>,13
101,[instance e<*>d<*>-<*>-<*>ea<*>-b<*>b-c<*>e<*>aa<*>] Took <*>.<*> seconds to <*>,4
102,[instance <*>-ffac-<*>a<*>c-a<*>-<*>aaf<*>f<*>e<*>e<*>] <*>,13
103,[instance <*>-ffac-<*>a<*>c-a<*>-<*>aaf<*>f<*>e<*>e<*>] Took <*>.<*> seconds to <*>,4
104,[instance <*>a<*>e<*>-<*>a-<*>-<*>-da<*>ccc<*>c<*>] <*>,13
105,[instance <*>a<*>e<*>-<*>a-<*>-<*>-da<*>ccc<*>c<*>] Took <*>.<*> seconds to <*>,4
106,[instance b<*>b<*>cba<*>-<*>f<*>-<*>-<*>e<*>d-f<*>e<*>c<*>ccf<*>] <*>,13
107,[instance b<*>b<*>cba<*>-<*>f<*>-<*>-<*>e<*>d-f<*>e<*>c<*>ccf<*>] Took <*>.<*> seconds to <*>,4
108,[instance <*>dbd<*>-cf<*>b-<*>a<*>-<*>-<*>ab<*>] <*>,13
109,[instance <*>dbd<*>-cf<*>b-<*>a<*>-<*>-<*>ab<*>] Took <*>.<*> seconds to <*>,4
110,[instance <*>d<*>-d<*>-<*>f<*>-<*>aa<*>-fde<*>bb<*>f<*>] <*>,13
111,[instance <*>d<*>-d<*>-<*>f<*>-<*>aa<*>-fde<*>bb<*>f<*>] Took <*>.<*> seconds to <*>,4
112,[instance <*>b<*>ff<*>-c<*>-<*>d-acc<*>-da<*>b<*>f<*>aaa<*>] <*>,13
113,[instance <*>b<*>ff<*>-c<*>-<*>d-acc<*>-da<*>b<*>f<*>aaa<*>] Took <*>.<*> seconds to <*>,4
114,[instance b<*>dbf<*>-<*>d<*>-<*>e<*>-<*>ed-<*>a<*>ad<*>bee<*>e] <*>,13
